#
#  synelcyc 23.0 Reactions link table generated on Tue Apr 16, 2019
#
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
RXN-37	EC-1.2.1.3
LACTALDDEHYDROG-RXN	EC-1.2.1.22
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
ALDHDEHYDROG-RXN	EC-1.2.1.3
1.8.1.4-RXN	EC-1.8.1.4
RXN-7716	EC-1.8.1.4
RXN-13158	EC-1.1.1.85
RXN-13179	EC-1.1.1.262
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14
RXN-9635	EC-1.3.1.9
RXN0-2145	EC-1.3.1.9
RXN-11478	EC-1.3.1.9
RXN-11482	EC-1.3.1.9
RXN-9657	EC-1.3.1.9
1.5.1.20-RXN	EC-1.5.1.20
1.1.1.262-RXN	
1.5.1.15-RXN	EC-1.5.1.15
RXN-14986	EC-1.1.1.85
RXN-13854	EC-1.7.1.15
RXN-7719	EC-1.8.1.4
RXN-4142	EC-1.2.1.3
RXN66-472	EC-1.2.1.3
RXN66-476	EC-1.2.1.3
RXN66-479	EC-1.2.1.3
UDPMANNACADEHYDROG-RXN	EC-1.1.1.336
RXN-10062	EC-1.3.1.9
RXN1G-526	EC-1.3.1.9
RXN1G-488	EC-1.3.1.9
RXN1G-395	EC-1.3.1.9
GLU6PDEHYDROG-RXN	EC-1.1.1.49
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
MERCURY-II-REDUCTASE-RXN	EC-1.16.1.1
RXN-9633	EC-2.3.1.86	EC-1.1.1.100
RXN-9540	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-9536	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-9524	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-9518	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
3-OXOACYL-ACP-REDUCT-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
DTDPDEHYRHAMREDUCT-RXN	EC-1.1.1.133
1.1.1.271-RXN	EC-1.1.1.271
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
DXPREDISOM-RXN	EC-1.1.1.267
SULFITE-REDUCT-RXN	EC-1.8.1.2
GLUTRNAREDUCT-RXN	EC-1.2.1.70
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.39	EC-1.3.1.104	EC-2.3.1.86	EC-2.3.1.85	EC-1.3.1.10
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
RXN-10625	EC-1.3.1.83
RXN-12000	EC-1.2.1
RXN-9952	EC-1.1.1.44
RXN-12165	EC-1.2.1
RXN0-4022	EC-1.7.1.13
RXN-9556	EC-1.1.1.100
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.4
RXN0-2142	EC-1.1.1.100
RXN-11476	EC-1.1.1.100
RXN-11480	EC-1.1.1.100
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RXN0-1281	EC-1.1.1
RXN-14014	EC-1.17.1.8
RXN1G-508	EC-1.1.1.100
RXN-9552	EC-1.1.1.100
RXN1G-469	EC-1.1.1.100
RXN1G-349	EC-1.1.1.100
RXN-10659	EC-1.1.1.100
RXN-10060	EC-1.1.1.100
RXN-13008	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN1G-617	EC-1.1.1.100
RXN1G-481	EC-1.1.1.100
RXN1G-409	EC-1.1.1.100
RXN-10655	EC-1.1.1.100
RXN1G-951	EC-1.1.1.100
RXN1G-203	EC-1.1.1.100
RXN1G-1247	EC-1.1.1.100
RXN1G-637	EC-1.1.1.100
RXN1G-262	EC-1.1.1.100
RXN1G-182	EC-1.1.1.100
RXN1G-384	EC-1.1.1.100
RXN1G-717	EC-1.1.1.100
RXN1G-853	EC-1.1.1.100
RXN1G-613	EC-1.1.1.100
RXN1G-408	EC-1.1.1.100
RXN1G-184	EC-1.1.1.100
RXN1G-252	EC-1.1.1.100
RXN1G-1050	EC-1.1.1.100
RXN-15006	EC-1.2.1.38
RXN1A0-6303	EC-1.3.1
RXN0-3962	EC-1.2.1.4
RXN-11151	EC-1.1.1.365
RXN-924	
RXN1G-157	EC-1.1.1.100
1.18.1.2-RXN	EC-1.18.1.2
RXN-7659	EC-1.3.1
RXN-7660	EC-1.3.1
RXN-7658	EC-1.3.1
FCLREDUCT-RXN	EC-1
RXN-9514	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
OCTADECANAL-DECARBONYLASE-RXN	EC-4.1.99.5
NADPH-DEHYDROGENASE-RXN	EC-1.6.99.1
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.2	EC-1.6.1.3	EC-1.6.1.1
RXN-13262	EC-4.1.99.5
FLAVONADPREDUCT-RXN	EC-1.18.1.2
RXN-8850	EC-2.1.1.148
RXN-5183	EC-1.2.1
RXN-15308	EC-1.14.13
RXN-16765	
TRANS-RXN0-277	EC-1.6.1
RXN-12994	EC-1.1.1.330
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-9238	EC-4.1.1.98
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN0-5055	EC-6.4.1.2
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EC-4.1.1.98
UNDECAPRENOL-KINASE-RXN	EC-2.7.1.66
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
RXN-7568	
TEICHOICSYN2-RXN	EC-2.4.1.187
NMNNUCLEOSID-RXN	EC-3.2.2.14
BIOTINLIG-RXN	EC-6.3.4.15
TRANS-RXN490-3597	
RXN-12876	
RXN-12440	EC-1.11.1.11
RXN-15046	EC-1.1.1.101
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
NICOTINAMID-RXN	EC-3.5.1.19
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21
CYTIDEAM-RXN	EC-3.5.4.5
RXN-12252	EC-3.1.1.1
R581-RXN	EC-4.99.1.2
2.5.1.39-RXN	EC-2.5.1.39
RXN-9003	EC-2.5.1.39
RXN-11368	EC-2.5.1.39
RXN-9222	EC-2.5.1.39
RXN-9230	EC-2.5.1.39
RXN-14129	EC-3.5.4.1
RXN0-6705	EC-2.3.1.51
RXN-17007	EC-1.6.5
NADH-DEHYDROGENASE-QUINONE-RXN	EC-1.6.5.11
RXN-14451	
RXN-14270	EC-2.4.2.7
RXN1F-20	EC-6.6.1.1
HISTCYCLOHYD-RXN	EC-3.5.4.19
PRIBFAICARPISOM-RXN	EC-5.3.1.16
RXN-14396	
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
AICARTRANSFORM-RXN	EC-2.1.2.3
RXN0-1461	EC-1.3.3.3
PROTOPORGENOXI-RXN	EC-1.3.3.4
RXN-8771	EC-1.13.11.79
RXN-10642	EC-4.1.1.37
FADSYN-RXN	EC-2.7.7.2
RIBOFLAVINKIN-RXN	EC-2.7.1.26
1.2.99.7-RXN	EC-1.2.99.7
UROGENDECARBOX-RXN	EC-4.1.1.37
UROGENIIISYN-RXN	EC-4.2.1.75
1.2.1.65-RXN	EC-1.2.1.65
RXN-15512	
RXN-15509	
PGLYCDEHYDROG-RXN	EC-1.1.1.95
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	EC-4.1.1.39
RXN-3443	EC-1.2.1.3
GLY3KIN-RXN	EC-2.7.1.31
RXN-15511	
BISPHOSPHOGLYCERATE-PHOSPHATASE-RXN	EC-3.1.3.13
RXN-961	EC-1.13.11
1.2.1.13-RXN	EC-1.2.1.13
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
PHOSGLYPHOS-RXN	EC-2.7.2.3
2PGADEHYDRAT-RXN	EC-4.2.1.11
3PGAREARR-RXN	EC-5.4.2.12
RXN-15510	
RXN-15513	EC-5.4.2.11
RXN-5282	
4.2.1.99-RXN	EC-4.2.1.99
RXN-7970	EC-1.1.1.87	EC-1.1.1.286
ACONITATEDEHYDR-RXN	
COBINPGUANYLYLTRANS-RXN	EC-2.7.7.62
RXN3O-1983	
ACONITATEHYDR-RXN	
RXN-14047	EC-4.2.1.3
ISOCITDEH-RXN	EC-1.1.1.42
RXN-9951	
R342-RXN	EC-6.6.1.2
RXN-8790	
RXN-8789	
R344-RXN	EC-2.5.1.17
R343-RXN	EC-1.16.8.1
RXN-7665	EC-1.3.1
BTUR2-RXN	EC-2.5.1.17
ADCLY-RXN	EC-4.1.3.38
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.7
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28
RXN-4821	EC-3.5.99
RXN-6261	EC-6.3.1.10
RXN-7663	EC-2.5.1
RXN-7664	EC-1.3.1
RXN1F-10	EC-1.3.1.33
RXN-11902	EC-1.3.7.7
RXN1F-72	EC-1.3.1.75
RXN-5283	
RXN-5284	
RXN-11302	EC-3.4.16.4
3.4.17.8-RXN	EC-3.4.17.8
RXN-11351	EC-3.4.16.4
RXN-11065	EC-3.4.16.4
3.4.17.14-RXN	EC-3.4.17.14
3.4.16.4-RXN	EC-3.4.16.4
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
RXN-8796	
RXN-8794	
RXN-8795	
RXN-8791	
RXN-16002	
RXN1F-66	EC-2.5.1.62
RXN-7666	EC-1.3.1
RXN-15137	
RXN-12729	EC-4.4.1.8
LINBBSPON-RXN	
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EC-1.14.13
2.7.1.121-RXN	EC-2.7.1.121
5.4.1.2-RXN	EC-5.4.99.61
R321-RXN	EC-1.14.13.83
1.3.1.54-RXN	EC-1.3.1.54
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
SIROHEME-FERROCHELAT-RXN	EC-4.99.1.4
CREATININASE-RXN	EC-3.5.2.10
COBALADENOSYLTRANS-RXN	EC-2.5.1.17
COBALAMINSYN-RXN	EC-2.7.8.26
RXN-1404	EC-3.5.5.1
RXNN-404	EC-3.5.1.4
RXN-6401	EC-4.3.3
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
IGPSYN-RXN	EC-4.1.1.48
RXN0-2381	EC-4.1.2.8
RXN-8770	EC-3.1.3.73
COBALAMIN5PSYN-RXN	EC-2.7.8.26
HEME-OXYGENASE-DECYCLIZING-RXN	EC-1.14.99.3
