#
#  synelcyc 22.5 Reactions link table generated on Tue Sep 11, 2018
#
UROPORIIIMETHYLTRANSA-RXN	
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
RXN-13262	EC-4.1.99.5
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
RXN-12753	
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.84
DHLBXANAU-RXN	EC-3.8.1.3
RXN-12459	EC-2.1.1.221
SUCROSE-PHOSPHATASE-RXN	EC-3.1.3.24
DADPKIN-RXN	EC-2.7.4.6
RXN-11837	EC-5.4.99.23
SELENOCYSTEINE-LYASE-RXN	EC-4.4.1.16
CHORISMATEMUT-RXN	EC-5.4.99.5
RXN-11357	
RXN66-476	EC-1.2.1.3
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-11135	EC-3.6.4.12
RXN1F-147	EC-5.5.1.18
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-10642	EC-4.1.1.37
RXN0-6483	EC-3.1.13.5
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
R581-RXN	EC-4.99.1.2
RXN0-5224	EC-4.2.1.1
ACONITATEHYDR-RXN	
QUINOLINATE-SYNTHE-MULTI-RXN	
RXN0-4261	
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
RXN0-1461	EC-1.3.3.3
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
RXN-9623	EC-6.2.1.3
3.4.24.70-RXN	EC-3.4.24.70
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
RXN-8991	
3.4.11.9-RXN	EC-3.4.11.9
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
RXN-8767	EC-2.1.1.289
3.1.13.5-RXN	EC-3.1.13.5
NAG6PDEACET-RXN	EC-3.5.1.25
RXN-8340	EC-4.1.99.18
2.7.7.60-RXN	EC-2.7.7.60
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
RXN-7800	
2.1.1.19-RXN	EC-2.1.1.19
LINBBSPON-RXN	
RXN-7253	EC-3.1.3.25
1.5.1.20-RXN	EC-1.5.1.20
ISOCIT-CLEAV-RXN	EC-4.1.3.1
RXN-4301	EC-3.2.1.68
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN-16998	
GUANYLCYC-RXN	EC-4.6.1.2
RXN-16002	
GLYOXII-RXN	EC-3.1.2.6
RXN-15127	EC-3.5.99.10
GLUTRACE-RXN	EC-5.1.1.3
RXN-14753	
RXN-14372	EC-2.4.1.18
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
RXN-14192	EC-2.7.1.40
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN-13675	EC-3.4.19.9
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
RXN-13030	EC-1.1.1.325
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	EC-5.1.3.7
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
RXN-12720	EC-2.7.7.4
THRESYN-RXN	EC-4.2.3.1
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN-12303	EC-1.6.5.2
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
CYTDEAM-RXN	EC-3.5.4.1
RXN-11811	
SAMDECARB-RXN	EC-4.1.1.50
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
RXN-11351	EC-3.4.16.4
RXN66-469	EC-6.2.1.3
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.7
RXN-11028	EC-2.7.8
RXN0-884	EC-1.17.1.2
ARG-OXIDATION-RXN	EC-1.4.3.2
RXN-1025	EC-4.1.99.5
RXN0-6480	EC-3.1.26.5
AIRCARBOXY-RXN	EC-4.1.1.21
R344-RXN	EC-2.5.1.17
RXN0-5182	EC-2.4.1.1
ACETYLSPERMIDINE-DEACETYLASE-RXN	EC-3.5.1.48
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
RXN0-3962	EC-1.2.1.4
6PGLUCONDEHYDROG-RXN	EC-1.1.1.351
PRIBFAICARPISOM-RXN	EC-5.3.1.16
RXN0-1321	EC-2.4.2.29
4.2.3.12-RXN	EC-4.2.3.12
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
RXN-9386	
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
PABASYN-RXN	EC-2.6.1.85
RXN-8953	EC-2.6.1.102
3.2.1.8-RXN	EC-3.2.1.8
O-SUCCINYLBENZOATE-COA-SYN-RXN	EC-4.2.1.113
RXN-8761	
3.1.11.2-RXN	EC-3.1.11.2
NADPH-DEHYDROGENASE-RXN	EC-1.6.99.1
RXN-8079	EC-2.5.1.77
2.7.7.1-RXN	EC-2.7.7.1
MERCURY-II-REDUCTASE-RXN	EC-1.16.1.1
RXN-7710	EC-2.4.1.18
TRANS-RXN490-3495	
2.1.1.131-RXN	EC-2.1.1.131
TRANS-RXN490-3594	
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
TRANS-RXN490-3550	
RXN-6261	EC-6.3.1.10
TRANS-RXN490-3506	
1.2.99.7-RXN	EC-1.2.99.7
TRANS-RXN490-3596	
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
TRANS-RXN490-3564	
RXN-3523	
TRANS-RXN490-3525	
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
TRANS-RXN490-3588	
RXN-16909	
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
RXN-15734	EC-2.5.1.105
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1
RXN-15122	
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-14325	
RXN490-3528	
GLU6PDEHYDROG-RXN	EC-1.1.1.49
RXN490-3517	
RXN-14120	EC-2.7.4.6
RXN490-3538	
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN490-3510	
RXN-13614	EC-6.2.1.3
RXN490-3584	
UNDECAPRENOL-KINASE-RXN	EC-2.7.1.66
RXN490-3512	
DUTP-PYROP-RXN	EC-3.6.1.19	EC-3.6.1.23
RXN-12944	EC-2.1.1
