SYNPCC7942_2569-MONOMER	SYNPCC7942_2569	Q31K20	orotidine 5'-phosphate decarboxylase	PyrF
SYNPCC7942_1844-MONOMER	SYNPCC7942_1844	Q8GJN6	conserved hypothetical protein	
SYNPCC7942_2568-MONOMER	SYNPCC7942_2568	Q31K21	conserved hypothetical protein	
SYNPCC7942_1843-MONOMER	SYNPCC7942_1843	Q31M46	conserved hypothetical protein	
SYNPCC7942_2567-MONOMER	SYNPCC7942_2567	Q54757	thiamine-monophosphate kinase	ThiL
SYNPCC7942_1842-MONOMER	SYNPCC7942_1842	Q8GJN4	Transposase, IS605 OrfB	
SYNPCC7942_2566-MONOMER	SYNPCC7942_2566	Q31K23	peptidyl-prolyl cis-trans isomerase	PpiA
SYNPCC7942_1841-MONOMER	SYNPCC7942_1841	Q31M48	UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase	MurF
SYNPCC7942_2565-MONOMER	SYNPCC7942_2565	Q54760	translation elongation factor P	Efp
SYNPCC7942_1840-MONOMER	SYNPCC7942_1840	Q31M49	conserved hypothetical protein	
SYNPCC7942_2564-MONOMER	SYNPCC7942_2564	Q54761	acetyl-CoA carboxylase, biotin carboxyl carrier protein	AccB
SYNPCC7942_1839-MONOMER	SYNPCC7942_1839	Q31M50	conserved hypothetical protein	
SYNPCC7942_2563-MONOMER	SYNPCC7942_2563	Q54762	exonuclease SbcC	SbcC
SYNPCC7942_1838-MONOMER	SYNPCC7942_1838	Q8GJN0	light-independent protochlorophyllide reductase, B subunit	ChlB
SYNPCC7942_2562-MONOMER	SYNPCC7942_2562	Q54763	aluminum resistance protein-like	
SYNPCC7942_1837-MONOMER	SYNPCC7942_1837	Q31M52	conserved hypothetical protein	
SYNPCC7942_2561-MONOMER	SYNPCC7942_2561	Q31K28	Stearoyl-CoA 9-desaturase	DesC
SYNPCC7942_1836-MONOMER	SYNPCC7942_1836	Q31M53	conserved hypothetical protein	
SYNPCC7942_2560-MONOMER	SYNPCC7942_2560	Q31K29	conserved hypothetical protein	
SYNPCC7942_1835-MONOMER	SYNPCC7942_1835	Q8GJM7	conserved hypothetical protein	
SYNPCC7942_2559-MONOMER	SYNPCC7942_2559	Q31K30	50S ribosomal subunit protein L9	RplI
SYNPCC7942_1834-MONOMER	SYNPCC7942_1834	Q8GJM6	conserved hypothetical protein	
SYNPCC7942_2558-MONOMER	SYNPCC7942_2558	Q31K31	cysteine desulfurase NifS	NifS
SYNPCC7942_1833-MONOMER	SYNPCC7942_1833	Q8GJM5	conserved hypothetical protein	
SYNPCC7942_2557-MONOMER	SYNPCC7942_2557	Q31K32	NAD-reducing hydrogenase HoxS &gamma; subunit	HoxU
SYNPCC7942_1832-MONOMER	SYNPCC7942_1832	Q31M57	conserved hypothetical protein	
SYNPCC7942_2556-MONOMER	SYNPCC7942_2556	Q31K33	NAD-reducing hydrogenase HoxS &delta; subunit	HoxY
SYNPCC7942_1831-MONOMER	SYNPCC7942_1831	Q31M58	inosine-5'-monophosphate dehydrogenase	GuaB
SYNPCC7942_2555-MONOMER	SYNPCC7942_2555	Q31K34	NAD-reducing hydrogenase HoxS &beta; subunit	HoxH
SYNPCC7942_1830-MONOMER	SYNPCC7942_1830	P12243	thioredoxin 1	
SYNPCC7942_2554-MONOMER	SYNPCC7942_2554	Q31K35	conserved hypothetical protein	
SYNPCC7942_1829-MONOMER	SYNPCC7942_1829	Q8GJM0	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	HisA
SYNPCC7942_2553-MONOMER	SYNPCC7942_2553	Q31K36	hydrogenase nickel insertion protein HypA	HypA
SYNPCC7942_1828-MONOMER	SYNPCC7942_1828	Q8GJL9	conserved hypothetical protein	
SYNPCC7942_2552-MONOMER	SYNPCC7942_2552	Q31K37	hydrogenase accessory protein HypB	HypB
SYNPCC7942_1827-MONOMER	SYNPCC7942_1827	Q31M62	conserved hypothetical protein	
SYNPCC7942_2551-MONOMER	SYNPCC7942_2551	Q31K38	(NiFe) hydrogenase maturation protein HypF	HypF
SYNPCC7942_1826-MONOMER	SYNPCC7942_1826	Q31M63	mRNA-binding protein	
SYNPCC7942_2550-MONOMER	SYNPCC7942_2550	Q31K39	conserved hypothetical protein	
SYNPCC7942_1825-MONOMER	SYNPCC7942_1825	Q31M64	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	
SYNPCC7942_2549-MONOMER	SYNPCC7942_2549	Q31K40	hypothetical protein	
SYNPCC7942_1824-MONOMER	SYNPCC7942_1824	Q8GJL5	CBS-domain protein	
SYNPCC7942_2548-MONOMER	SYNPCC7942_2548	Q31K41	3-isopropylmalate dehydratase, small subunit	LeuD
SYNPCC7942_1823-MONOMER	SYNPCC7942_1823	Q9Z3G5	phycobilisome degradation protein NblB	NblB
SYNPCC7942_2547-MONOMER	SYNPCC7942_2547	Q31K42	conserved hypothetical protein	
SYNPCC7942_1822-MONOMER	SYNPCC7942_1822	Q31M67	conserved hypothetical protein	
SYNPCC7942_2546-MONOMER	SYNPCC7942_2546	Q31K43	conserved hypothetical protein	
